"Num_Acc";"circ";"nbv";"vma";"surf_gr";"prof_gr";"plan_gr";"infrastructure"
"202100000001";"2";2;80;"normale";"plat";"rectiligne";"non"
"202100000002";"2";2;80;"normale";"plat";"rectiligne";"non"
"202100000003";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000004";"2";4;50;"normale";"plat";"rectiligne";"non"
"202100000005";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000006";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000007";"2";0;50;"normale";"plat";"rectiligne";"oui"
"202100000008";"2";2;40;"normale";"plat";"rectiligne";"non"
"202100000009";"2";3;50;"risquée";"plat";"rectiligne";"non"
"202100000010";"1";4;50;"normale";"plat";"rectiligne";"oui"
"202100000011";"2";4;50;"normale";"plat";"courbe";"oui"
"202100000012";"2";2;80;"normale";"plat";"courbe";"non"
"202100000013";"3";4;110;"normale";"plat";"rectiligne";"non"
"202100000014";"2";4;50;"normale";"pente/cote";"rectiligne";"non"
"202100000015";"2";2;90;"normale";"plat";"rectiligne";"non"
"202100000016";"2";2;50;"risquée";"plat";"rectiligne";"non"
"202100000017";"3";4;130;"normale";"plat";"rectiligne";"non"
"202100000018";"2";4;90;"normale";"plat";"rectiligne";"oui"
"202100000019";"2";2;80;"normale";"pente/cote";"courbe";"non"
"202100000020";"3";5;50;"normale";"plat";"rectiligne";"non"
"202100000021";"2";2;50;"normale";"plat";"rectiligne";"oui"
"202100000022";NA;2;50;"normale";"plat";"rectiligne";"oui"
"202100000023";"2";2;30;"normale";"plat";"rectiligne";"non"
"202100000024";"3";2;40;"normale";"plat";"rectiligne";"non"
"202100000025";"2";2;80;"risquée";"pente/cote";"courbe";"non"
"202100000026";"3";4;130;"normale";"plat";"rectiligne";"non"
"202100000027";"2";2;90;"normale";"pente/cote";"rectiligne";"non"
"202100000028";"2";2;50;"risquée";"plat";"rectiligne";"non"
"202100000029";"1";2;50;"risquée";"plat";"rectiligne";"non"
"202100000030";"2";3;50;"normale";"pente/cote";"rectiligne";"non"
"202100000031";NA;1;10;"normale";"plat";"rectiligne";"oui"
"202100000032";"1";2;70;"risquée";"plat";"rectiligne";"non"
"202100000033";"1";6;50;"normale";"plat";"rectiligne";"non"
"202100000034";"2";1;50;"normale";"plat";"rectiligne";"non"
"202100000035";"1";1;50;"normale";"plat";"rectiligne";"non"
"202100000036";"2";2;80;"risquée";"pente/cote";"courbe";"non"
"202100000037";"2";2;50;"normale";"pente/cote";"rectiligne";"oui"
"202100000038";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000039";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000040";NA;4;50;"normale";"plat";"rectiligne";"non"
"202100000041";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000042";"2";2;70;"normale";"plat";"rectiligne";"non"
"202100000043";"2";2;80;"risquée";"plat";"courbe";"non"
"202100000044";"3";4;70;"normale";"plat";"rectiligne";"oui"
"202100000045";"2";7;50;"normale";"plat";"rectiligne";"non"
"202100000046";"2";2;50;"normale";"pente/cote";"courbe";NA
"202100000047";"2";0;50;"normale";"plat";"rectiligne";"non"
"202100000048";"2";1;80;"normale";"plat";"rectiligne";"non"
"202100000049";"1";2;50;"normale";"plat";"rectiligne";"oui"
"202100000050";"2";0;50;"normale";"plat";"rectiligne";"non"
"202100000051";"2";2;50;"normale";"plat";"rectiligne";"oui"
"202100000052";"2";2;50;"normale";"plat";"rectiligne";"oui"
"202100000053";"3";2;50;"normale";"pente/cote";"rectiligne";"oui"
"202100000054";"2";2;50;"normale";"plat";"rectiligne";"oui"
"202100000055";"1";1;50;"normale";"plat";"rectiligne";"non"
"202100000056";"2";2;70;"normale";"plat";"rectiligne";"oui"
"202100000057";"2";2;80;"risquée";"plat";"courbe";"non"
"202100000058";"2";2;50;"risquée";"plat";"rectiligne";"non"
"202100000059";"2";2;80;"normale";"plat";"courbe";"non"
"202100000060";"2";2;80;"normale";"plat";"rectiligne";"oui"
"202100000061";"2";2;70;"normale";"plat";"rectiligne";"oui"
"202100000062";"2";1;30;"normale";"plat";"rectiligne";"non"
"202100000063";"2";1;80;"normale";"pente/cote";"rectiligne";"non"
"202100000064";"2";NA;NA;"normale";"plat";"rectiligne";"non"
"202100000065";NA;1;NA;"normale";"plat";"rectiligne";"oui"
"202100000066";"2";2;50;"risquée";"plat";"rectiligne";"oui"
"202100000067";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000068";"2";2;80;"risquée";"pente/cote";"courbe";"non"
"202100000069";"2";2;50;"risquée";"plat";"rectiligne";"non"
"202100000070";"2";2;NA;"normale";"plat";"rectiligne";"non"
"202100000071";"1";0;30;"normale";"plat";"rectiligne";"non"
"202100000072";"1";3;70;"normale";"plat";"rectiligne";"non"
"202100000073";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000074";"1";2;50;"normale";"pente/cote";"courbe";"oui"
"202100000075";"3";3;130;"normale";"plat";"rectiligne";"non"
"202100000076";"2";2;50;"normale";"pente/cote";"rectiligne";"non"
"202100000077";NA;NA;50;"risquée";"plat";"rectiligne";"non"
"202100000078";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000079";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000080";"2";2;50;"risquée";"pente/cote";"courbe";"oui"
"202100000081";"2";2;50;"normale";"plat";"courbe";"non"
"202100000082";NA;3;50;"normale";"pente/cote";"rectiligne";"non"
"202100000083";"2";3;50;"normale";"plat";"rectiligne";"non"
"202100000084";"2";2;50;"normale";"plat";"rectiligne";"oui"
"202100000085";"1";1;90;"normale";"plat";"rectiligne";"oui"
"202100000086";NA;0;50;"normale";"plat";"courbe";"non"
"202100000087";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000088";"2";2;70;"risquée";"pente/cote";"courbe";"oui"
"202100000089";"2";2;50;"normale";"plat";"rectiligne";NA
"202100000090";"1";2;50;"normale";"plat";"rectiligne";"oui"
"202100000091";"2";2;50;"normale";"plat";"courbe";"non"
"202100000092";NA;NA;NA;"normale";"plat";"rectiligne";"oui"
"202100000093";"2";1;50;"normale";"plat";"rectiligne";"oui"
"202100000094";"3";2;90;"normale";"plat";"rectiligne";"oui"
"202100000095";"1";2;50;"risquée";"plat";"rectiligne";"oui"
"202100000096";"1";1;50;"risquée";"plat";"courbe";"oui"
"202100000097";"2";1;50;"risquée";"plat";"rectiligne";"oui"
"202100000098";"2";2;70;"normale";"plat";"rectiligne";"non"
"202100000099";"3";2;80;"risquée";"plat";"rectiligne";"non"
"202100000100";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000101";NA;1;NA;"risquée";"plat";"rectiligne";"oui"
