"variable";"dtype"
"Num_Acc";"character"
"id_vehicule";"character"
"place";"factor"
"catu";"factor"
"grav";"factor"
"sexe";"factor"
"an_nais";"integer"
"secu";"factor"
"secu_2";"factor"
"id_usager";"character"
"catveh";"factor"
"obstacle";"factor"
"choc_gr";"factor"
"lum";"factor"
"agg";"factor"
"lat";"integer"
"long";"integer"
"plage_hh";"factor"
"saison";"factor"
"inter";"factor"
"meteo";"factor"
"collision";"factor"
"circ";"factor"
"nbv";"integer"
"vma";"integer"
"surf_gr";"factor"
"prof_gr";"factor"
"plan_gr";"factor"
"infrastructure";"factor"
