"Num_Acc";"catr";"circ";"nbv";"vosp";"prof";"plan";"surf";"infra";"situ";"vma"
"202100000001";"3";"2";"2";"0";"1";"1";"1";"0";"1";"80"
"202100000002";"3";"2";"2";"0";"1";"1";"1";"0";"1";"80"
"202100000003";"4";"2";"2";"0";"1";"1";"1";"0";"1";"50"
"202100000004";"3";"2";"4";"0";"1";"1";"1";"0";"1";"50"
"202100000005";"7";"2";"2";NA;"1";"1";"1";"0";"1";"50"
"202100000006";"4";"2";"2";"0";"1";"1";"1";"0";"1";"50"
"202100000007";"4";"2";"0";"0";"1";"1";"1";"5";"1";"50"
"202100000008";"2";"2";"2";"0";"1";"1";"1";"0";"1";"40"
"202100000009";"3";"2";"3";"0";"1";"1";"2";"0";"1";"50"
"202100000010";"2";"1";"4";"3";"1";"1";"1";"3";"6";"50"
"202100000011";"3";"2";"4";"0";"1";"3";"1";"9";"1";"50"
"202100000012";"3";"2";"2";"0";"1";"2";"1";"0";"1";"80"
"202100000013";"2";"3";"4";"3";"1";"1";"1";"0";"1";"110"
"202100000014";"3";"2";"4";"0";"4";"1";"1";"0";"1";"50"
"202100000015";"3";"2";"2";"0";"1";"1";"1";"0";"1";"90"
"202100000016";"3";"2";"2";"0";"1";"1";"2";"0";"8";"50"
"202100000017";"1";"3";"4";"0";"1";"1";"1";"0";"1";"130"
"202100000018";"1";"2";"4";NA;"1";"1";"1";"7";"1";"90"
"202100000019";"3";"2";"2";"0";"2";"3";"1";"0";"1";"80"
"202100000020";"3";"3";"5";"0";"1";"1";"1";"0";"1";"50"
"202100000021";"4";"2";"2";"0";"1";"1";"1";"5";"1";"50"
"202100000022";"3";NA;"2";"0";"1";"1";"1";"1";"1";"50"
"202100000023";"3";"2";"2";"0";"1";"1";"1";"0";"1";"30"
"202100000024";"3";"3";"2";"0";"1";"1";"1";"0";"1";"40"
"202100000025";"3";"2";"2";"0";"2";"2";"2";"0";"1";"80"
"202100000026";"1";"3";"4";"0";"1";"1";"1";"0";"1";"130"
"202100000027";"3";"2";"2";"0";"2";"1";"1";"0";"1";"90"
"202100000028";"4";"2";"2";"0";"1";"1";"2";"0";"1";"50"
"202100000029";"4";"1";"2";"0";"1";"1";"2";"0";"1";"50"
"202100000030";"3";"2";"3";"0";"2";"1";"1";"0";"1";"50"
"202100000031";"3";NA;"1";"0";"1";"1";"1";"9";"8";"10"
"202100000032";"2";"1";"2";"0";"1";"1";"2";"0";"1";"70"
"202100000033";"4";"1";"6";"0";"1";"1";"1";"0";"1";"50"
"202100000034";"4";"2";"1";"0";"1";"1";"1";"0";"4";"50"
"202100000035";"4";"1";"1";NA;"1";"1";"1";"0";"8";"50"
"202100000036";"3";"2";"2";"0";"2";"3";"2";"0";"3";"80"
"202100000037";"4";"2";"2";"0";"2";"1";"1";"5";"1";"50"
"202100000038";"4";"2";"2";"0";"1";"1";"1";"0";"1";"50"
"202100000039";"4";"2";"2";"0";"1";"1";"1";"0";"1";"50"
"202100000040";"4";NA;"4";"0";"1";"1";"1";"0";"1";"50"
"202100000041";"3";"2";"2";"0";"1";"1";"1";"0";"1";"50"
"202100000042";"3";"2";"2";"0";"1";"1";"1";"0";"1";"70"
"202100000043";"3";"2";"2";"0";"1";"3";"2";"0";"1";"80"
"202100000044";"2";"3";"4";"0";"1";"1";"1";"8";"1";"70"
"202100000045";"3";"2";"7";"3";"1";"1";"1";"0";"1";"50"
"202100000046";"3";"2";"2";"2";"2";"3";"1";NA;"1";"50"
"202100000047";"4";"2";"0";"0";"1";"1";"1";"0";"1";"50"
"202100000048";"3";"2";"1";"0";"1";"1";"1";"0";"1";"80"
"202100000049";"3";"1";"2";"2";"1";"1";"1";"2";"1";"50"
"202100000050";"3";"2";"0";"0";"1";"1";"1";"0";"1";"50"
"202100000051";"4";"2";"2";"0";"1";"1";"1";"2";"1";"50"
"202100000052";"4";"2";"2";"0";"1";"1";"1";"9";"1";"50"
"202100000053";"3";"3";"2";"0";"3";"1";"1";"9";"8";"50"
"202100000054";"3";"2";"2";"0";"1";"1";"1";"9";"1";"50"
"202100000055";"4";"1";"1";"2";"1";"1";"1";"0";"5";"50"
"202100000056";"9";"2";"2";"0";"1";"1";"1";"9";"8";"70"
"202100000057";"7";"2";"2";"0";"1";"3";"2";"0";"1";"80"
"202100000058";"4";"2";"2";"0";"1";"1";"2";"0";"1";"50"
"202100000059";"3";"2";"2";"0";"1";"3";"1";"0";"8";"80"
"202100000060";"7";"2";"2";"0";"1";"1";"1";"5";"1";"80"
"202100000061";"4";"2";"2";"0";"1";"1";"1";"5";"1";"70"
"202100000062";"4";"2";"1";"0";"1";"1";"1";"0";"1";"30"
"202100000063";"3";"2";"1";"0";"2";"1";"1";"0";"1";"80"
"202100000064";"1";"2";NA;NA;"1";"1";"1";"0";"1";NA
"202100000065";"9";NA;"1";"3";"1";"1";"1";"6";"6";"5"
"202100000066";"4";"2";"2";"0";"1";"1";"2";"9";"1";"50"
"202100000067";"3";"2";"2";"0";"1";"1";"1";"0";"1";"50"
"202100000068";"3";"2";"2";"0";"2";"3";"2";"0";"3";"80"
"202100000069";"4";"2";"2";"1";"1";"1";"2";"0";"1";"50"
"202100000070";"4";"2";"2";NA;"1";"1";"1";"0";"1";NA
"202100000071";"4";"1";"0";"0";"1";"1";"1";"0";"1";"30"
"202100000072";"1";"1";"3";NA;"1";"1";"1";"0";"1";"70"
"202100000073";"3";"2";"2";"0";"1";"1";"1";"0";"4";"50"
"202100000074";"4";"1";"2";"0";"2";"3";"1";"2";"1";"50"
"202100000075";"1";"3";"3";"0";"1";"1";"1";"0";"1";"130"
"202100000076";"4";"2";"2";"0";"2";"1";"1";"0";"1";"50"
"202100000077";"6";NA;NA;"0";"1";"1";"2";"0";"1";"50"
"202100000078";"4";"2";"2";"0";"1";"1";"1";"0";"1";"50"
"202100000079";"3";"2";"2";NA;"1";"1";"1";"0";"1";"50"
"202100000080";"3";"2";"2";"0";"2";"3";"2";"3";"8";"50"
"202100000081";"4";"2";"2";"0";"1";"3";"1";"0";"1";"50"
"202100000082";"4";NA;"3";"0";"2";"1";"1";"0";"1";"50"
"202100000083";"4";"2";"3";"2";"1";"1";"1";"0";"1";"50"
"202100000084";"3";"2";"2";"0";"1";"1";"1";"5";"1";"50"
"202100000085";"2";"1";"1";"0";"1";"1";"1";"3";"1";"90"
"202100000086";"9";NA;"0";"0";"1";"2";"1";"0";"1";"50"
"202100000087";"4";"2";"2";"0";"1";"1";"1";"0";"1";"50"
"202100000088";"3";"2";"2";"0";"2";"2";"2";"9";"1";"70"
"202100000089";"7";"2";"2";NA;"1";"1";"1";NA;"1";"50"
"202100000090";"3";"1";"2";"0";"1";"1";"1";"5";"1";"50"
"202100000091";"3";"2";"2";"0";"1";"2";"1";"0";"1";"50"
